data_id,name,address,latitude,longitude,elevation
1,The Alley of Victor Tsoi in Almaty, Intersection of Tulebaev and Kabanbai Batyr streets,43.2498431,76.9491156,831.8161010742188
2,The Denis Ten’s Memorial,,43.2446886,76.9447027,846.6092529296875
3,Two Kazakh heroines: The Monument to Aliya Moldagulova and Manshuk Mametova," Memorial Square, named after Aliya Moldagulova and Manshuk Mametova (square of Tole Bi - Abylai Khan - Bogenbai Batyr - Panfilov streets).",43.253888,76.9433502,810.0891723632812
4,"The composition ""Tauelsizdik tany"" (Dawn of Freedom)", The intersection of Zheltoksan Avenue and Satpayev Street.,43.4130365,76.9109488,655.7542724609375
5,Memorial of the Glory in the Park of the 28 Panfilov Guardsmen, The Park of the 28 Panfilov Guardsmen,43.2588333,76.9541316,802.6917724609375
6,The Park of the 28 Panfilov Guardsmen, The square of Kunaev - Gogol - Zenkov - Kazybek bi streets.,43.2588333,76.9541316,802.6917724609375
7,Monument of Independence and Republic Square," Satpayev Street, between Zheltoksan and Nazarbayev Avenues.",43.2382699,76.9450337,872.248291015625
8,"Kok-Tobe, the highest recreation park in Almaty", Kok-Tobe Mountain,43.12980599999999,76.905056,1315.7861328125
9,Pedestrian Street of Panfilov, Panfilov Street,43.251415,76.9453016,820.3334350585938
10,Pedestrian street of Zhibek Zholy, Zhibek Zholy Street,43.2628492,76.9577592,787.8994140625
11,Almaty Zoo," Esenberlin Street, 166.",43.2633868,76.9763756,800.3595581054688
12,"The National Russian Drama Theater, named after Mikhail Lermontov"," Abai Avenue, 43.",43.2379761,76.8828618,814.3273315429688
13,Almaty Central Mosque," Pushkin Street, 16.",43.2681304,76.9530333,771.75927734375
14,Ascension Cathedral," Gogol Street, 40V.",43.2587617,76.9529706,802.9083251953125
15,St. Nicholas Cathedral," Baitursynov Street, 56/5.",43.2485241,76.9281389,808.5620727539062
16,"The Park, named after the First President of the Republic of Kazakhstan", The intersection of Al-Farabi Avenue and Navoi Street.,43.2629445,76.93775579999999,776.2052001953125
17,The House-Museum of Akhmet Baitursynov," Baitursynov Street, 60.",43.2379761,76.8828618,814.3273315429688
18,Almaty Military History Museum," Zenkov Street, 24, The Officers’ House, ​2nd floor, the right wing.",43.2584768,76.95699789999999,804.696533203125
19,The Almaty Museum," Kabanbai Batyr Street, 132/85.",43.248717,76.9360756,818.9140014648438
20,Central State Museum of the Republic of Kazakhstan," District Samal-1, 44.",43.2358091,76.9507665,895.7365112304688
21,A. Kasteev Art Museum," District Koktem-3, 22/1.",43.2358932,76.91927,832.5630493164062
22,State Literary and Memorial Museum Complex of S. Mukanov and G. Musrepov," Tulebaev Street, 125.",43.2388606,76.9181509,824.56494140625
23,The House Museum of Dinmukhamed Kunaev," Tulebaev Street, 117.",43.2379761,76.8828618,814.3273315429688
24,"State Academic Russian Theater for Children and Young People, named after Natalia Sats"," Shalyapin Street, 22.",43.2379761,76.8828618,814.3273315429688
25,"Kazakh National Opera and Ballet Theater, named after Abai Kunanbaev"," Kabanbai Batyr Street, 110.",43.2379761,76.8828618,814.3273315429688
26,Fantasy World Almaty," Abai Avenue, 50a/1.",43.2399304,76.91871239999999,821.7386474609375
27,Almaty Central Recreation Park," Gogol Street, 1.",43.2383345,76.92415629999999,829.25
28,Falcon Nursery “Sunkar”," Alma-Arasan street, 7, 8th km of the Alma-Arasan highway from Al-Farabi.",43.127785,76.9053131,1338.397705078125
29,Bukreev Peak,,43.1668968,77.13435009999999,2994.7294921875
